line,text,State,ShanDiv
3,refugee resettlement program; withdrawal,Arizona,1
4,counties; municipal land acquisition; limitation,Arizona,1
5,state fleet; inventory reduction,Arizona,1
6,workers' compensation; employee definition; notice.,Arizona,1
7,index exemptions; unused tax credits,Arizona,1
8,hospitals; flu vaccines,Arizona,1
9,guest removal; special detainer action,Arizona,1
10,prohibited possessors; driving record; notation,Arizona,1
1,captive insurance; fund,Arizona,1
2,income tax subtraction; ADA retrofits,Arizona,1
3,dispensers; prescription drug monitoring,Arizona,1
4,JTEDs; courses and programs; approval,Arizona,1
5,financial responsibility; verification; technical correction,Arizona,1
6,state veterinarian; animal identification; appropriation,Arizona,1
7,teachers; professional development; pilot program,Arizona,1
8,electric nonprofit cooperatives; patronage capital,Arizona,1
9,appropriation; Arizona geological survey,Arizona,1
10,Arizona water banking authority; report,Arizona,1
1,felony pretrial intervention programs; appropriation,Arizona,1
2,workers' compensation; work search requirements,Arizona,1
3,VLT; registration; exemptions; purple heart,Arizona,1
4,K-12 education; budget reconciliation; 2017-2018,Arizona,1
5,medical examiner; communicable diseases; disclosure,Arizona,1
6,behavior analysts; committee; licensure; regulation,Arizona,1
7,fire districts; pension fund; transfer,Arizona,1
8,election proclamation; board clerk,Arizona,1
9,misused transportation excise tax; repayment,Arizona,1
10,counties; municipalities; euthanizing animals,Arizona,1
1,road signage; counties,Arizona,1
2,state treasurer; public monies; procedures,Arizona,1
3,EORP; PSPRS; CORP; modifications,Arizona,1
4,general appropriations act; 2017-2018.,Arizona,1
5,environment; budget reconciliation; 2017-2018.,Arizona,1
6,health; budget reconciliation; 2017-2018.,Arizona,1
7,human services; budget reconciliation; 2017-2018.,Arizona,1
8,capital outlay; appropriations; 2017-2018.,Arizona,1
9,budget procedures; budget reconciliation; 2017-2018.,Arizona,1
10,university infrastructure capital financing; appropriations,Arizona,1
1,higher education; budget reconciliation; 2017-2018.,Arizona,1
2,revenues; budget reconciliation; 2017-2018.,Arizona,1
3,criminal justice; budget reconciliation; 2017-2018,Arizona,1
4,natural resources projects; court actions,Arizona,1
5,behavioral health examiners; continuation,Arizona,1
6,security guard training instructors; certification,Arizona,1
7,osteopathic board; continuation,Arizona,1
8,anti-racketeering revolving funds; electronic reports,Arizona,1
9,building code moratorium; repeal,Arizona,1
10,insurance; fees; insurance producers,Arizona,1
1,respiratory care examiners; continuation,Arizona,1
2,teacher certification; reciprocity,Arizona,1
3,vehicle impoundment; release of vehicles,Arizona,1
4,public entities; absolute immunity; defenses,Arizona,1
5,Arizona teachers; student loan program,Arizona,1
6,PSPRS; retirement benefit calculation,Arizona,1
7,permanent guardianship,Arizona,1
8,forestry and fire management; conformity,Arizona,1
9,Arizona power authority; report,Arizona,1
10,peace officers; investigative interviews; recordings,Arizona,1
1,state lands; perpetual rights-of-way.,Arizona,1
2,voter registration; presidential elector deadlines,Arizona,1
3,foster children; motor vehicle insurance,Arizona,1
4,workers' compensation; tiered rate filings,Arizona,1
5,elections; unlawful voting; residence,Arizona,1
6,orthotics; prosthetics; standards,Arizona,1
7,osteopaths; fingerprinting,Arizona,1
8,schools; elections; ballot arguments; exclusion,Arizona,1
9,private postsecondary education grants,Arizona,1
10,ASRS; return to work,Arizona,1
1,registration exemptions; securities,Arizona,1
2,annuity transactions; training requirements,Arizona,1
3,technical correction; payment method,Arizona,1
4,household goods; unlawful moving practices,Arizona,1
5,secretary of state; omnibus,Arizona,1
6,Arizona emissions bank; credits; amendments,Arizona,1
7,provisional licenses; criminal convictions.,Arizona,1
8,victims' rights; requirements; monetary judgments,Arizona,1
9,provisional licenses; criminal convictions,Arizona,1
10,outdoor advertising,Arizona,1
1,personal property transfer; limitations prohibited,Arizona,1
2,vendor; payment by warrant; fee,Arizona,1
3,auto dealers; recalls; manufacturer compensation,Arizona,1
4,bingo establishments; ADA compliance,Arizona,1
5,political parties; notice; meetings,Arizona,1
6,agricultural land; fallowing; property tax,Arizona,1
7,art therapy services; contracting requirements,Arizona,1
8,candidate committee names; office,Arizona,1
9,drug overdose; review team; confidentiality,Arizona,1
10,bonds; levy; net of cash,Arizona,1
1,voter guide; publicity pamphlet; e-mail,Arizona,1
2,community protection initiative; report; continuation,Arizona,1
3,tax lien foreclosures; subdivisions; exemption,Arizona,1
4,private property access; rights-of-way,Arizona,1
5,real estate transfer fees; definition,Arizona,1
6,alarm industry; fingerprint requirements,Arizona,1
7,telecommunications; broadband; accelerated depreciation,Arizona,1
8,mining and mineral museum; transfer,Arizona,1
9,claimants; residential contractors' recovery fund,Arizona,1
10,homeowners' associations; open meetings,Arizona,1
1,education; conforming changes,Arizona,1
2,JLAC: auditor general,Arizona,1
3,teenage drivers; communication devices prohibited,Arizona,1
4,schools; accounting; budgeting; reporting,Arizona,1
5,waste tire disposal; continuation,Arizona,1
6,schools; dyslexia; handbook; definition,Arizona,1
7,commercial cancellation; notice; unearned premium,Arizona,1
8,schools; children's camps; sunscreen use,Arizona,1
9,judicial productivity credits; salary calculation,Arizona,1
10,school bus drivers; fingerprint cards,Arizona,1
1,truth in taxation; increase; notice,Arizona,1
2,ASU; consolidation of budget units,Arizona,1
3,local governments; smallcell equipment permitting,Arizona,1
4,high school textbooks; review period,Arizona,1
5,private vocational program license; exemption,Arizona,1
6,withholding of wages; school employees,Arizona,1
7,revisions; community facilities districts,Arizona,1
8,AHCCCS; clinical oversight committee,Arizona,1
9,waste tires; definitions,Arizona,1
10,school district governing boards; qualifications,Arizona,1
1,private postsecondary institutions; peace officers,Arizona,1
2,technical correction; real estate licensing,Arizona,1
3,child support; driver license restriction,Arizona,1
4,expedited rulemaking,Arizona,1
5,technical correction; game; fish; facilities,Arizona,1
6,search warrants; tracking; simulator devices,Arizona,1
7,controlled substances; approved medications,Arizona,1
8,insurers; health providers; claims mediation,Arizona,1
9,surface water; adjudication sequence,Arizona,1
10,health profession regulatory boards,Arizona,1
1,towing firms; assets; definition,Arizona,1
2,school district leases; duration,Arizona,1
3,tax correction act of 2017,Arizona,1
4,jail districts; maintenance of effort,Arizona,1
5,"flood control districts; easements, leases",Arizona,1
6,schools; student data privacy,Arizona,1
7,nurse anesthetists; prescribing authority; limitation,Arizona,1
8,prohibited firearm tracking; classification,Arizona,1
9,sex trafficking; violation,Arizona,1
10,telemedicine; audio visual requirements,Arizona,1
1,forestry waste; permits,Arizona,1
2,certified qualified applicators; fingerprinting requirement,Arizona,1
3,liquor omnibus,Arizona,1
4,dental board; dentists; dental hygienists,Arizona,1
5,contributions; committed youth; repeal; committee,Arizona,1
6,governmental entities; diplomas; transcripts; recognition.,Arizona,1
7,name change; juvenile court,Arizona,1
8,organ; tissue; donations; procurement organizations,Arizona,1
9,spay and neuter; tax checkoff.,Arizona,1
10,insurance taxes; installments; electronic filing,Arizona,1
1,schools; concurrent enrollment,Arizona,1
2,school safety program,Arizona,1
3,advanced directives registry; provider access,Arizona,1
4,contractor licensure; requirements; confidential information,Arizona,1
5,pharmacy board; required permitting; violation,Arizona,1
6,elections; candidates; requirements,Arizona,1
7,psychotropic drugs; foster children; report,Arizona,1
8,telemedicine; audio visual requirements.,Arizona,1
9,public debt; reporting; penalties,Arizona,1
10,peace officer; victim; aggravating factor,Arizona,1
1,corrections officer retirement plan; modifications,Arizona,1
2,nonresident tax credit; taxable year,Arizona,1
3,in-state tuition; veterans,Arizona,1
4,concealed weapons permit; electronic reports,Arizona,1
5,life settlement contracts; broker licenses,Arizona,1
6,insurance; advertising; filing requirements,Arizona,1
7,firearms; state preemption; independent contractors,Arizona,1
8,civil forfeiture; report information; remedies,Arizona,1
9,unlawful discharge of firearms; exception,Arizona,1
10,Arizona lengthy trial fund; continuation.,Arizona,1
1,ADOT; Meridian road extension,Arizona,1
2,municipal codes; publication; online,Arizona,1
3,metal dealer licensure; local authority,Arizona,1
4,state contract lobbyists; prohibition,Arizona,1
5,electric bicycles,Arizona,1
6,schools; admissions; desegregation,Arizona,1
7,occupational safety and health omnibus,Arizona,1
8,TPT; aircraft; fractional ownership,Arizona,1
9,certificates of necessity; service area,Arizona,1
10,empowerment scholarships; expansion; phase-in,Arizona,1
1,agencies; review; GRRC; occupational regulation,Arizona,1
2,schools; statewide assessment,Arizona,1
3,residential care institutions; employment,Arizona,1
4,DHS; commission; task force; repeal,Arizona,1
5,emergency generator systems; exemption,Arizona,1
6,bonds; disclosure; notice,Arizona,1
7,community notification; form of notice,Arizona,1
8,DHS; health care institutions; licensure,Arizona,1
9,real estate licensing; exception; assistants,Arizona,1
10,DES; ownership; land; building,Arizona,1
1,medical student loans; board; continuation,Arizona,1
2,fingerprinting; child placement; IT contractors,Arizona,1
3,homeowners' associations; cumulative voting; prohibition,Arizona,1
4,Arizona outdoor recreation commission; continuation,Arizona,1
5,Arizona department of housing; continuation.,Arizona,1
6,wireless facilities; collocation; rights-of-way,Arizona,1
7,abortion; live delivery; report; definition,Arizona,1
8,victims; medical bills; prohibited acts,Arizona,1
9,voter registration records; petition submittals,Arizona,1
10,corporate status change; nontaxable event,Arizona,1
1,compact; balanced budget; convention,Arizona,1
2,GPLET reform; K-12 taxes,Arizona,1
3,governor's regulatory review council; continuation,Arizona,1
4,mobile home relocation; long-term RVs,Arizona,1
5,uniform fiduciaries act; repeal,Arizona,1
6,tribal courts; involuntary commitment orders,Arizona,1
7,pharmacy board; licensure; fees,Arizona,1
8,municipal zoning; rezoning protest requirements,Arizona,1
9,electoral college; electors; violation; classification,Arizona,1
10,telecommunications service assistance program,Arizona,1
1,medical board; licensure; disciplinary action,Arizona,1
2,dangerous; incompetent defendants; study committee,Arizona,1
3,ASRS; optional retirement benefits; overpayment,Arizona,1
4,pharmacy board; logistics providers; permits,Arizona,1
5,ASRS; board powers,Arizona,1
6,limited line crop insurance,Arizona,1
7,garnishment; continuing lien; school employee,Arizona,1
8,hospital survey; exclusion; fetal death,Arizona,1
9,encumbrance documents; exceptions,Arizona,1
10,collector car auction; special plates,Arizona,1
1,Arizona procurement code; amendments,Arizona,1
2,department of environmental quality; omnibus,Arizona,1
3,DCS; foster parent; medical consent,Arizona,1
4,public safety; supplemental benefits; continuation,Arizona,1
5,securities; registration exemptions,Arizona,1
6,early ballot envelopes,Arizona,1
7,pharmacists; scope of practice,Arizona,1
8,contractors; owners; documents,Arizona,1
9,terrorist threats; false reports; terrorism,Arizona,1
10,tobacco settlement; Indian tribes; information,Arizona,1
1,bonding; amortized premium; segregated fund,Arizona,1
2,parents' rights; DCS website information,Arizona,1
3,signatures; electronic transactions; blockchain technology,Arizona,1
4,concurrent criminal jurisdiction; Goldwater range,Arizona,1
5,county contributions; hospitalization; medical; repeal,Arizona,1
6,national guard; readiness center; appropriation,Arizona,1
7,license plate covers; prohibition,Arizona,1
8,school tax credit; capital outlay,Arizona,1
9,amateur radio operator special plates,Arizona,1
10,parking violation; disabilities; access aisles,Arizona,1
1,municipalities; annexation; roadway maintenance,Arizona,1
2,vacating conviction; trafficking; local offenses,Arizona,1
3,pharmacy board; notice requirements,Arizona,1
4,electronic; digital signatures; requirements; ADOA,Arizona,1
5,reviser's technical corrections; 2017,Arizona,1
6,homeowners' associations; dispute process,Arizona,1
7,fallen correctional employees memorial; extension,Arizona,1
8,certified nurse midwives; nurse practitioners,Arizona,1
9,corporation commission; telecommunications; rates,Arizona,1
10,podiatry; amputation,Arizona,1
1,science education special plates,Arizona,1
2,Arizona criminal justice commission; continuation,Arizona,1
3,department of revenue; electronic filing,Arizona,1
4,liquor; serving age; reduction,Arizona,1
5,inhalers; administration; schools; authorized entities,Arizona,1
6,"incompetent, nonrestorable defendants; involuntary commitment",Arizona,1
7,controlled substances prescription monitoring program,Arizona,1
8,schools; nonresident pupils; military duty,Arizona,1
9,controlled substances; definition,Arizona,1
10,property tax oversight commission; continuation,Arizona,1
1,JPs; residency requirements,Arizona,1
2,schools; certification; discipline; reciprocity,Arizona,1
3,military justice; nonjudicial punishment procedures,Arizona,1
4,schools; K-3 reading program,Arizona,1
5,archaeology advisory commission; continuation,Arizona,1
6,national guard; deployment; professional licenses,Arizona,1
7,teachers; short-term certificates; dismissals,Arizona,1
8,insurance; definition; fire protection services,Arizona,1
9,nursing facilities; assisted living; advertising,Arizona,1
10,DCS; background checks; central registry,Arizona,1
1,end-of-life; discrimination; prohibition,Arizona,1
2,ASDB revisions,Arizona,1
3,sexual assault; victim advocates; privilege,Arizona,1
4,internal revenue code; full conformity,Arizona,1
5,anti-racketeering monies; police training,Arizona,1
6,JCCR; membership,Arizona,1
7,electronic files; access; official record,Arizona,1
8,initiatives; circulators; signature collection; contests,Arizona,1
9,nuclear emergency appropriations; assessments,Arizona,1
10,wulfenite; state mineral,Arizona,1
1,fire districts; creation; merger; consolidation,Arizona,1
2,technical correction; disabled parking; reciprocity,Arizona,1
3,technical correction; overtaking bicycles,Arizona,1
4,ADOT omnibus,Arizona,1
5,public accommodation; services; civil actions,Arizona,1
6,oversize commercial vehicles; local authority,Arizona,1
7,mental health treatment; patient transport.,Arizona,1
8,motor vehicle dealers; title information,Arizona,1
9,rural development tax credits,Arizona,1
10,appointment; ombudsman-citizens aide.,Arizona,1
1,disability insurance; service coverage,Arizona,1
2,sentencing document; fingerprint; misdemeanor offenses,Arizona,1
3,forcible entry; detainer; prohibited rules,Arizona,1
4,government deposits; investment; financial institutions,Arizona,1
5,alcohol; drug monitoring program; establishment,Arizona,1
6,alternate grand jurors; service,Arizona,1
7,occupational licensing; military members,Arizona,1
8,JTEDs; adults,Arizona,1
9,fallen firefighter memorial; committee,Arizona,1
10,sexual assault evidence; submission; reports,Arizona,1
1,experienced teachers; certification renewal,Arizona,1
2,endowed-care cemeteries; unitrusts,Arizona,1
3,finder fees; apartment tenants,Arizona,1
4,pharmacy; virtual manufacturers; virtual wholesalers,Arizona,1
5,state fair board; continuation,Arizona,1
6,DHS; fingerprinting requirements,Arizona,1
7,air quality compliance,Arizona,1
8,ombudsman-citizens aide; reports,Arizona,1
9,manufactured homes; real estate transactions,Arizona,1
10,victims' rights; pleading endorsements,Arizona,1
1,franchises; mark owners; employment relationships,Arizona,1
2,dog racing; conforming changes,Arizona,1
3,pharmaceuticals; misbranding; enforcement prohibited,Arizona,1
4,Arizona lengthy trial fund; continuation,Arizona,1
5,federal financial assistance; reports,Arizona,1
6,workers' compensation; employee definition; notice,Arizona,1
7,ASRS; nonparticipating employers; liability,Arizona,1
8,return to out-of-home care; placement,Arizona,1
9,consolidated election dates; tax authorization,Arizona,1
10,state militia; firearms; rights,Arizona,1
1,authorized third parties; electronic title,Arizona,1
2,homeowners' associations; managers; duties; gratuities,Arizona,1
3,mutual holding company reorganization,Arizona,1
4,clerk of court; records; reporting,Arizona,1
5,private process servers; duties,Arizona,1
6,electronic records; retention; storage,Arizona,1
7,motorcycle safety fund,Arizona,1
8,electric personal assistive mobility devices,Arizona,1
9,board of executive clemency; continuation,Arizona,1
10,repeal; regional attraction districts,Arizona,1
1,hairstylist licenses; cosmetology,Arizona,1
2,G&F omnibus,Arizona,1
3,employment security; time frames; interest,Arizona,1
4,competency hearings; jurisdiction; referral,Arizona,1
5,appropriations; named claimants,Arizona,1
6,fire districts; electronic funds transfers,Arizona,1
7,business entities; omnibus,Arizona,1
8,Gold Star memorial,Arizona,1
9,homeowners' associations; disclosure documents; fees,Arizona,1
10,appointment; ombudsman-citizens aide,Arizona,1
1,committee of reference; standing committee,Arizona,1
2,technical correction; sports facilities account,Arizona,1
3,special sentencing provisions; unlawful presence,Arizona,1
4,homeowners' associations; board duties; acknowledgment,Arizona,1
5,government; passwords; data encryption,Arizona,1
6,civil liability; minors; animals; vehicle.,Arizona,1
7,appropriation; fairgrounds; preservation; historic buildings,Arizona,1
8,college readiness; assessments,Arizona,1
9,lottery; software applications,Arizona,1
10,municipal improvement districts; sale certificate,Arizona,1
1,TPT exemptions and deductions; sunset,Arizona,1
2,veterans' services; benefits counselors; appropriation,Arizona,1
3,DOI; report; surprise billing,Arizona,1
4,fire flow requirements; rural applicability,Arizona,1
5,veterans' donations fund; tax credit,Arizona,1
6,special education; audit; cost study,Arizona,1
7,appropriation; teacher student loan program,Arizona,1
8,Arizona water protection fund; appropriation,Arizona,1
9,correctional facilities; community notification.,Arizona,1
10,civil liability; damages; weapons,Arizona,1
1,release procedures; hearings; bonds,Arizona,1
2,criminal history investigation; name change,Arizona,1
3,tax information; disclosure; municipal auditors,Arizona,1
4,oxygenated fuel standards; formula,Arizona,1
5,notaries; unlawful practices; immigration,Arizona,1
6,internal revenue code conformity,Arizona,1
7,Phoenix-Goodyear airport; reuse zone,Arizona,1
8,Arizona power authority; conflicts; meetings,Arizona,1
9,jobs; incentives; credits; grants,Arizona,1
10,vacating felony conviction; record destruction,Arizona,1
1,ballots; defects; notice and cure,Arizona,1
2,attorney regulation; assessments; membership dues,Arizona,1
3,ballot measures; proposition 105 disclosures,Arizona,1
4,tax subtraction; uniformed services pay,Arizona,1
5,vehicle liability insurance; minimum limits,Arizona,1
6,advanced certification; assessor personnel; compensation,Arizona,1
7,homeowners' associations; hearings; attorney fees,Arizona,1
8,funeral director licensure,Arizona,1
9,high schools; college accessibility awareness,Arizona,1
10,legal decision-making; parenting time,Arizona,1
1,towing; vehicle removal; abandoned vehicles,Arizona,1
2,invalid annexation; procedure,Arizona,1
3,appropriation; counties; essential services,Arizona,1
4,disability parking; wheelchair users,Arizona,1
5,annual report; corporate tax credits,Arizona,1
6,community health workers; voluntary certification.,Arizona,1
7,income tax subtraction; veterans' pensions,Arizona,1
8,appropriation; memorial; January 8 victims,Arizona,1
9,convention; delegates; limitations; oath,Arizona,1
10,toll roads; conversion; prohibition.,Arizona,1
1,trauma-informed care training,Arizona,1
2,primary election date,Arizona,1
3,schools; immunization records; retention,Arizona,1
4,prohibition; photo radar,Arizona,1
5,transportation infrastructure; study committee; appropriation,Arizona,1
6,warning devices; motor vehicles,Arizona,1
7,aggravated DUI; sentence; county jail.,Arizona,1
8,"at-risk youth; career, college readiness",Arizona,1
9,child care assistance; eligibility,Arizona,1
10,state lands; perpetual rights-of-way,Arizona,1
1,schools; daily recess time,Arizona,1
2,counties; purchases; local dealers,Arizona,1
3,insurance coverage; telemedicine; urology,Arizona,1
4,foreign nonprofit corporations; foreign LLCs,Arizona,1
5,vocational and technical education; evaluation,Arizona,1
6,AHCCCS; covered services; occupational therapy,Arizona,1
7,gifted pupils; funding,Arizona,1
8,veteran-owned businesses; procurement preference,Arizona,1
9,critical health information; emergency responders,Arizona,1
10,sentencing; court debts; fine mitigation,Arizona,1
1,misconduct involving weapons; public places,Arizona,1
2,technical correction; credit unions; loans,Arizona,1
3,teacher and principal evaluations,Arizona,1
4,traffic accidents; fatality; implied consent,Arizona,1
5,schools; computer coding instruction,Arizona,1
6,abandoned vehicles; towing reimbursement,Arizona,1
7,water resources; department annual report,Arizona,1
8,tax credit cap; angel investor,Arizona,1
9,building code moratorium; repeal.,Arizona,1
10,homeowners' associations; board conflicts,Arizona,1
1,renewable energy; environmental impact; committee,Arizona,1
2,sexual assault; survivor rights,Arizona,1
3,property tax assessment of greenhouses,Arizona,1
4,homeowners' associations; streets; authority,Arizona,1
5,schools; bonds; overrides; funding sources,Arizona,1
6,appropriations; one percent reduction; exceptions,Arizona,1
7,one-year property tax assessments,Arizona,1
8,property tax; reducing limited valuation,Arizona,1
9,adult protective services; confidential information,Arizona,1
10,firearm discharge; mental state; applicability,Arizona,1
1,native American veterans; tax settlement,Arizona,1
2,municipal service access cards; requirements,Arizona,1
3,telecommunications fund; report; website,Arizona,1
4,military family relief fund; continuation,Arizona,1
5,transfer credits; Arizona online instruction,Arizona,1
6,incorporation; urbanized areas,Arizona,1
7,driving violations; restricted licenses; penalties,Arizona,1
8,mutual holding company reorganization.,Arizona,1
9,DCS report consolidation,Arizona,1
10,delinquent property taxes; common areas,Arizona,1
1,appraisals; allegations; complaints,Arizona,1
2,insurance contracts,Arizona,1
3,library trustees; annual report,Arizona,1
4,municipalities; identification cards; prohibition,Arizona,1
5,teachers; alternative performance evaluation cycle,Arizona,1
6,legislative vacancies; appointment; requirements,Arizona,1
7,administrative procedure; declaratory judgment,Arizona,1
8,auditor general; special investigative unit,Arizona,1
9,indoor tanning; minors; restricted use,Arizona,1
10,peace officers; weapons; federal facilities,Arizona,1
1,floodplain management regulations; nonstructural damage,Arizona,1
2,universities; tuition; rates; fees,Arizona,1
3,national guard; reduced tuition rate,Arizona,1
4,voter registration; identification,Arizona,1
5,groundwater basins; department survey,Arizona,1
6,prescription drugs; delivery; pricing; appeals,Arizona,1
7,insurance; health care appeals; medications,Arizona,1
8,nonprofit cooperative corporations,Arizona,1
9,health insurance; interstate purchase,Arizona,1
10,judicial elections; term; requirements,Arizona,1
1,supreme court; regulation of attorneys,Arizona,1
2,municipalities; counties; intergovernmental agreements; requirements,Arizona,1
3,sex offenders; electronic device monitoring,Arizona,1
4,groundwater; extinguishment credits; Pinal AMA,Arizona,1
5,funeral directors; embalmers; board membership,Arizona,1
6,Arizona power authority; conflicts; meetings.,Arizona,1
7,AHCCCS; dental care; pregnant women,Arizona,1
8,child welfare; placement; medications,Arizona,1
9,abortion; admitting privileges; repeal,Arizona,1
10,release conditions; pretrial release program,Arizona,1
1,facilities relocation; public utility easements,Arizona,1
2,DCS; misconduct; temporary custody; removal,Arizona,1
3,reduction in force; state agencies,Arizona,1
4,criminal justice commission; membership; report.,Arizona,1
5,appropriation; adult protective services,Arizona,1
6,physical body adornment; establishments; certification,Arizona,1
7,study committee; public school expenditures,Arizona,1
8,public accommodation; disability; discrimination; sanctions,Arizona,1
9,affordable housing projects; tax assessment.,Arizona,1
10,tax credit; title I schools,Arizona,1
1,appropriation; child care subsidy program,Arizona,1
2,death certificates; gender,Arizona,1
3,TPT reform; contractors,Arizona,1
4,state-owned bank task force,Arizona,1
5,procurement; veterans; Arizona bidders; preference,Arizona,1
6,clean elections; county candidates,Arizona,1
7,government vehicles; political speech; prohibition,Arizona,1
8,consular identification cards; prohibition; repeal.,Arizona,1
9,racing; simulcasting agreements,Arizona,1
10,home health aides; qualifications,Arizona,1
1,AHCCCS; waivers; tribal exemptions,Arizona,1
2,secretary of state; constitutional conventions,Arizona,1
3,teacher salary increases; appropriation,Arizona,1
4,political parties; proxies,Arizona,1
5,liquor licenses; municipalities; disapproval,Arizona,1
6,online impersonation; offense,Arizona,1
7,lottery distributions; teacher salary increases,Arizona,1
8,dental board; teeth-whitening services,Arizona,1
9,uranium; radioactive materials; transportation,Arizona,1
10,community colleges; workforce development,Arizona,1
1,joint select commission on corrections.,Arizona,1
2,early childhood; school readiness committee,Arizona,1
3,medical marijuana; identification cards; expiration,Arizona,1
4,clean elections; contributions prohibited,Arizona,1
5,AHCCCS; medicare beneficiaries; benefits; appropriation,Arizona,1
6,health care providers; religious beliefs,Arizona,1
7,postpartum depression; task force,Arizona,1
8,injunction against harassment; petition; hearing,Arizona,1
9,wage disclosure; employee rights,Arizona,1
10,juveniles; natural life sentence; repeal,Arizona,1
1,auditor general; charter schools.,Arizona,1
2,appropriation; highway user revenue fund,Arizona,1
3,interfering; judicial proceeding; prosecution; sentence,Arizona,1
4,government software; purchase and development,Arizona,1
5,contracting; investments; prohibition; border wall,Arizona,1
6,appropriation; untested sexual assault kits,Arizona,1
7,JTEDs; ninth graders; funding..,Arizona,1
8,prisoners; earned release credits,Arizona,1
9,mitigation monies; school bus fleets,Arizona,1
10,resisting detention; offense,Arizona,1
1,employee donations; school districts,Arizona,1
2,aggregate STO credit cap; freeze,Arizona,1
3,TPT; diapers; formula; feminine hygiene,Arizona,1
4,schools; prohibited courses; repeal,Arizona,1
5,purple heart special plates; fees,Arizona,1
6,"presidential candidates, electors; tax returns.",Arizona,1
7,diaper changing stations; public restrooms,Arizona,1
8,misconduct involving weapons; firearm storage,Arizona,1
9,marijuana; health warnings,Arizona,1
10,driving; handheld communications devices; prohibition,Arizona,1
1,legislators; mileage rate; distance,Arizona,1
2,schools; funding sources; bonds; overrides,Arizona,1
3,veterans; mental health courts; establishment,Arizona,1
4,sexual abuse; molestation; mental state,Arizona,1
5,substitute teachers; notification,Arizona,1
6,eighth grade promotion; requirements,Arizona,1
7,empowerment scholarship accounts; revisions.,Arizona,1
8,schools; menu of academic standards,Arizona,1
9,TPT; Indian tribes; motor vehicles,Arizona,1
10,juveniles; court jurisdiction; age,Arizona,1
1,employment agents; unlawful practices,Arizona,1
2,education; statutory language; removal; repeals,Arizona,1
3,public school employees; safety; children,Arizona,1
4,prohibited actions; federal acts; firearms,Arizona,1
